StartDate;EndDate;Progress;Duration (in seconds);RecordedDate;UserLanguage;Informed consent;T1E_1;T2E_1;T3E_1;T4E_1;T5N_1;T6N_1;T7N_1;T8N_1;F1E_1;F2E_1;F3E_1;F4E_1;F5N_1;F6N_1;F7N_1;F8N_1;T1EE_1;T2EE_1;T3EE_1;T4EE_1;T5NE_1;T6NE_1;T7NE_1;T8NE_1;F1EE_1;F2EE_1;F3EE_1;F4EE_1;F5NE_1;F6NE_1;F7NE_1;F8NE_1;T1N_1;T2N_1;T3N_1;T4N_1;T5E_1;T6E_1;T7E_1;T8E_1;F1N_1;F2N_1;F3N_1;F4N_1;F5E_1;F6E_1;F7E_1;F8E_1;T1NE_1;T2NE_1;T3NE_1;T4NE_1;T5EE_1;T6EE_1;T7EE_1;T8EE_1;F1NE_1;F2NE_1;F3NE_1;F4NE_1;F5EE_1;F6EE_1;F7EE_1;F8EE_1;CRT1_1;CRT1_2;CRT1_3;CRT3_1;CRT3_2;CRT3_3;Educational level;Gender;Gender_4_TEXT;Age_1;Pol. partisanship _1;Series
02/05/2025 08:30;02/05/2025 08:44;100;835;02/05/2025 08:44;EN;1;9;5;9;0;0;9;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;0;2;0;5;0;7;4;0;0;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;50;20;1;8;June;5;2;;30;1;A
02/05/2025 08:31;02/05/2025 08:44;100;806;02/05/2025 08:44;EN;1;1;3;9;0;7;7;5;8;1;1;2;0;2;2;1;5;8;5;10;7;5;3;3;3;7;8;10;10;8;3;9;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;39;2;8;Emily;5;2;;60;3;A
02/05/2025 08:32;02/05/2025 08:44;100;735;02/05/2025 08:44;EN;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;10;10;0;10;10;0;0;0;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;50;20;1;7;June;2;2;;44;3;A
02/05/2025 08:31;02/05/2025 08:44;100;774;02/05/2025 08:44;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;10;5;10;0;1;10;0;10;0;0;2;0;0;0;0;10;10;9;10;9;9;10;5;5;9;9;10;10;9;9;9;4;10;39;2;8;Emily;6;1;;48;1;B
02/05/2025 08:30;02/05/2025 08:44;100;846;02/05/2025 08:44;EN;1;2;1;2;2;2;2;8;5;3;3;2;3;2;2;2;1;1;7;5;2;6;1;1;4;3;7;6;7;1;2;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;6;2;;45;3;A
02/05/2025 08:38;02/05/2025 08:44;100;358;02/05/2025 08:44;EN;1;1;6;6;3;6;7;6;6;2;1;6;1;3;0;0;4;9;8;8;4;6;0;1;7;6;8;6;9;8;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;4;1;;50;2;A
02/05/2025 08:31;02/05/2025 08:45;100;844;02/05/2025 08:45;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;9;9;1;9;2;0;8;0;1;9;0;0;8;0;10;10;0;2;10;0;9;10;0;10;10;10;10;10;10;10;8;10;39;2;8;Emily;6;1;;24;6;B
02/05/2025 08:34;02/05/2025 08:45;100;676;02/05/2025 08:45;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;6;5;5;2;6;5;5;1;5;4;3;5;0;7;5;7;5;8;1;2;1;5;2;8;3;9;8;0;9;6;4;10;39;2;8;Emily;6;2;;31;5;B
02/05/2025 08:31;02/05/2025 08:45;100;862;02/05/2025 08:45;EN;1;5;4;2;4;2;6;1;5;4;4;2;3;6;3;2;3;5;9;8;3;1;0;9;8;3;9;8;10;2;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;7;Emily;5;1;;34;4;A
02/05/2025 08:31;02/05/2025 08:45;100;877;02/05/2025 08:45;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;5;3;4;4;4;6;6;7;3;6;4;3;4;6;7;8;6;5;3;5;4;4;5;7;3;6;4;3;3;6;4;10;20;2;7;Emily;6;2;;36;6;B
